1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
AFFX-r2-TagQ-3_at	ATG20	AIM19	RPT1		CBP3	VAB2		FRE2		YOL164W-A		SNP1	RPO41	SSQ1	PAU18	MRP2	THI73	ATP18	BGL2	YGR169C-A	VPS70	SEN34		ERT1	ADE4	LSM6		YBR053C	UTR4	KAP114	QCR2	YHR122W	IPL1	YNL155W		CYR1		IMA5	YHR202W	GIC2	FAS1		BNI5	NAM2	NAF1			SRL2	STE12	YOR302W		BRX1	AFFX-Scv2-r2-P1-cre-5_s_at	MHT1	RPL16B	MRPL38				AGX1	SKI7			MAL13	YPL260W		YFL068W	PRP18	AIM21	FIR1	APE2
AFFX-r2-TagJ-5_at	GGA1	ATG33	RPT6		RML2	LCL3		FIT1		YOL163W		YHR022C-A	APL1	IRC3	YML083C	SKI3	MUC1	ATP20	TUL1	YLR408C	AMD1	PMS1		THI74	DLD3	ARL1		YKL091C	AIF1	YCG1	SDH4	HBN1	RAD53	YMR187C		OSH2		REE1	ATG7	TUB3	ACC1		DUO1	MRF1	TRF5			YLR278C	GYP8	HIS7		RRB1	ASP1	STR3	RPS9B	MRPL23				HEF3	YBR259W				APL5		YJR114W	SDS3	PDC2	BUD8	YMR027W
RPTR-Sc-U47295-1_at	ATG3	JIP4	PRE5		MRPL35	PRP11		YAP5		YER186C		YMR242W-A	KIN28	NTG2	HES1	SMX3	PDR12	COX5A	NEO1	BIM1	SMC5	CDC9		RFT1		TMA20		COQ9	GPX2	RUD3	YNK1	NBP35	SLD2	YBL101W-A		RAV1		YJL218W	STB2	PMI40	FAS2		ARO8	TAZ1	YBR271W			ARE2	FIG1	ALT1		RPF2	TEF4	RMD6	RPS1B	MRPL50				YAT2	NTO1				RTF1		SMA2	YOR060C	STE7	DBF2	PEP4
RPTR-Sc-M15077-1_at	UBX3	MHP1	SCL1		MRPL8	AIM23		FRE5		MGR1		PFS1	SIW14	PET130	UPC2	RPC82	PDC5	ATP16	NCR1	MTC3	EXO84	HSL1		YER140W		SSS1		MRP8	PAD1	RFC1	CYT1	GLR1	MSB4			UGO1		VTH1	YMR160W		ACB1		THR1	PET309	YBR141C			SWI6	PRM6	PYC2		YTM1	ACO1	GRX8	RPL23B	MRPL44				FBP1	ORC1				PAF1		YML054C-A	LUC7	YML020W	RAX2	PRC1
RPTR-Sc-J01636-4_at	PEP12	COX19	PRE4		MRPL40	COG1				MST28		FYV5	RIT1	PRP3	TIR3	DPB2		ATP2	ECM14	YBL107C	YDR239C	SAS3		MSC2		VMA10		YBR056W	YLR036C	NUD1	MDH3	YIL108W	RAD52			STB3		PRY3	ATG34		RTN1		ARL3	MSR1	MPP10				PRM3	ARG7		RLP24	IDH1	YCT1	RPL16A	MRP49				NDE2	USO1				TOA1		GAS4	RIM9	APM2	BUB3	EDE1
YLR162W	YOR020W-A	SWT21	RPT3		RMD9	DCC1				PRM9		YDL159W-A	VPS30	TFB3	ECM34	YPR174C		QCR10	GSF2	NKP1	YIL151C	RSR1		SMP3		ARF1		YSC84	QDR2	ESC8	GUT2	YNL176C	CAC2			PGS1		HXT9	YDL199C		ERG3		SMD2	NSE3	RPC37				YCL021W-A	PEX21		PUF6	RPTR-Sc-ECOLOXL_at	MMP1	RPS17A	MRPL33				USV1	VMS1				VPS64		YOR365C	RPR2	PFS2	RAX1	TPD3
RPTR-Sc-AB076373-1_at	YNL115C	CWC25	PRE2		MRP7	NAS2				YAR028W		YLR445W	RCY1	YMR111C	PDR11	ECM7		COX4	ASI1	RMP1	PIK1	POL32		YHR078W		VMA21		RCN2	YNL046W	SLI15	ODC1	AAD6	YOR114W			YKL105C		SNL1	SAF1		ERG20		ARG4	SUV3	RAT1				PRM2	PCL5		ERB1	RPTR-Sc-X58791-1_at	DUG3	RPL29	MRP21				ECI1	VPS41				LEO1		YGR226C	RTG1	VPS17	SGO1	KTR4
RPTR-Sc-U55943-1_at	UBC8	FMS1	RPT4		MRPL28	SRN2				UIP3		YOL019W-A	FZO1	BRF1	THI22	RHO1		YMR31	LST4	SNM1	CBK1	MDM1		YND1		LSM2		YFL042C		CSM2	TES1	YLR460C	IRC5			RGT2		YIL014C-A	YJR008W		ERG27		HIS5	DSS1	FAP1				KAR5	LAP3		NOP12	DLS1	MET8	RPS19B	MRPL36				FOX2	VPS3				IMH1		YIL102C	YJU2	BYE1	HCM1	YHR009C
RPTR-Sc-AJ132968-1_at	COX16	YFL041W-A	ARC15		RSM7	HER2				YAL064W		YGR146C-A	PNG1	SWP82	PAU20	RAD7		AIM41	CCW14	SYF2	PET127	POL2		FEN2		TIF11		TPK1		MSH2	PKP1	NFU1	PLM2			YJL070C		SUC2	GPX1		ERG5		GLE2	UBP16	YML082W				NEJ1	LYS2		CIC1	TAF9	SPC25	RPS21A	CBP6				CIT3	TEX1				DJP1		YBR090C	BFA1	YNL295W	YNL058C	PEP1
RPTR-Sc-ECOLOXB_at	IKS1	BIT2	YPT1		IMG1	ATG12				YPL257W		SPO13	PLC1	SPP1	HEM13	HDA3		RDL1	YKR051W		YDR026C	ACM1		PHO80		YKT6		GRE3		LTE1	PYC1	UBA4	YAP7			YIL152W		UBC13	UIP4		HMG1		YOR246C	ISM1	SAP185				YBP2	LYS20		NMD3	PTA1	VBA2	RPL11B	RSM18				REG2	HDA2				IGO1		REC114	YHL018W	MKK2	GIC1	YJU3
RPTR-Sc-U57609-2_s_at	YDL027C	MSL5	RPN6		MHR1	VAM3				YOL159C-A		YLR415C	CEG1	YKR078W	YJR116W	YJR054W		YJR085C	KTR1		RKM2	DUN1		YUR1		KRE27		GLO1		TRL1	LPX1	CCP1				GRS2			DCS2		ERG26		FRS2	COX11	DUS1				REV1	MET13		RPA135	RRD1	SAM3	RPS29A	YDR115W				YGR067C	SEC8				GLC8		YNL067W-B	RAD10	SWC4	KIP2	EAF3
RPTR-Sc-M15077-1_s_at	YKL133C	SLM3	RPT5		RSM10	CUS2				OST6		SPO77	COG5	HPC2	YHL042W	YPR172W		YCL057C-A	YHR113W		PRK1	CIN2		TFC6		RDI1		TRR2		TOS2	SDH3	LSB1				ROD1			PGM2		ERG7		FSF1	IFM1	TGS1				MIG1			MAK21	MNN11	SUL1	RPL6A	RDL2				YIG1	MON1				ARP5		YGL235W	SLI1	GTS1	SUR7	UGP1
RPTR-Sc-U89963-1_s_at	GTT1	DGA1	RPN8		ATP12	MAK32				YBR197C		REC102	OAF3	NTR2	AAC3	RRP43		AIM37	AVT7		SYF1	RRG7		YIL067C		YRB1		YAP1801		SHE1	NNK1	YCF1				SSK1			MSC1		HNM1		DPH5	AEP2	MUD2				RDH54			ENP2	MNN9	YKL068W-A	RPS13	MRPL6				YMR206W	CCE1				NUT1		IRC18	DOC1	AKL1	CLB2	HSE1
RPTR-Sc-X58791-1_s_at	STF2	MNR2	RPN12		RSM26	DYN3				LAS17		ECM23	MPS1	YKL075C	ARE1	RRP7		ATP5	SSM4		CFT1	PRI2		BIG1		LTP1		DCS1		SPA2	GIS1	DRE2							OM45		ERG8		MEU1	YLF2	PUS1				HO			NHP2	NPL3		RPL31A	MRPL49				IDP3	RCO1				CKA1		PES4	FRE8	INO80	PNP1	TPS3
RPTR-Sc-A00196-1_s_at	COX14	HRD1	ARC35		TUF1	HTD2				YGL007C-A		GAT3	PRS2	MFB1	YAR064W	PUT3		YBR255C-A	PEX7		DIA2	MDN1		DCR2		VMA7		YNL305C		PXL1	STE11	FRM2							YLR149C		ERG28		BRR2	YLR253W	YOL097W-A				SAW1			HGH1	SIT4		RPL40B	TOM6				PXA2	SPC98				NPR3		YGL015C	MLH1	OAF1	FRK1	TIP41
RPTR-Sc-AF292559-4_s_at	EMI5	LAG2	PRE8		MRPS35	YSC83				YOR192C-C		YNR075C-A	NHA1	PSO2	YHR213W-A	COS2		COX9	ADP1		YNL165W	OGG1		THI3		CDC36		YET1		DBR1	DLD1	TRS31							YJL185C		GND1		PRP8	YFH7	BAS1				KAR4			DBP10	PAN1		RPP1B	MRPS28				PXA1	IST3				ULP1		YKL106C-A	RAD34	MKS1	VAC17	YKR018C
RPTR-Sc-AF323980-1_at	YGR130C	RIM101	SMT3		MSY1	CPR2				TGL5		YNL033W	PIM1	ORC6	NEM1	YLR407W		COX7	STP3		APC1	SPO16		HOL1		SUI3		YDR262W		YBR184W	PTK1	GSH1							YMR196W		PSD1		GCN2	MRM1	IPI3				YLR042C			RPB5	SEC31		RPL43B	MRP51				PRR2	UAF30				CWC15		SMA1	DFG16	UBX7	YJL118W	YCP4
RPTR-Sc-AY056050-1_at	UBP15	PPZ2	PRE6		TOM70	CDC7				YOL155W-A		YBR200W-A	SMY1	RTG3	PAU21	NUT2		NCE101	YBR287W		RSC4	YDL156W		SAY1		RFC2		YJL068C		MDM20	SHR5	YCR102C							TFS1		YMR134W		GCN3	MST1	SHQ1							NOP15	LPD1		RPL37A	MRPL24				FMP43	TOP1				GFD1		MPC54	ATP10	RUP1	YNL247W	ASM4
RPTR-Sc-E00696-1_s_at	AFR1	YBR225W	PRE7		HEM2	YER077C				YIR042C		YGR240C-A	YPP1	CRZ1	POR2	RTS2		RTC6	CPR4		MSS18			NAM7		TAF10		YLR177W		PCL2	ADR1	YNL260C							YNL200C		YBR242W		YKR043C	NCA2	YDR514C							NOP4	LSC1		RPL19B	MRPS16				SFC1	YPL077C				TRS120		SPO23	YNR063W	DNL4	LRG1	PAP1
RPTR-Sc-M57289-1_s_at	YMR031C	ECM21	PRE1		RSM28	HYM1						YOR293C-A	OSM1	TAF12	YGL039W	YMR1		QCR6	NHX1		CHA4			IRE1		DBP5		GLK1		RRM3	AVT6	RPTR-Sc-AJ002682-2_s_at							YKL151C		EHT1		ARO2	PET112	YJR141W							TRM82	RIM1		RPL19A	MRPL37				POT1	VPS51				STS1		SPS2	CEP3	PKH3	RGD2	SNA3
RPTR-Sc-NM_131175-1_at	RAD14	MSC3	ADE16		MTF1	MUD1						MEI5	PRP28	MTC4	YPL245W	PZF1		IGO2	STV1		CBT1			YGL140C		APM3		YBR139W		YNL097C-A	CYC1								FMP40		ERG6		PRO2	YPL109C	YGR079W							PWP1	TRX1		RPL22A	PET100				SPG4	SNU56				ESA1		MSH4	USE1	ACK1	SFG1	DAP2
RPTR-Sc-U43284-1_s_at	RAD4	FAR11	VPS21		MTF2	RFM1						YBR298C-A	WSS1	IWR1	YMR252C	COG2		NHP6B	PPQ1		SGS1			POM152		SRP14		PEX29			GDH3								GLC3		YEH1		HOM2	1-Oct	GIS4							RPA190	RPL32		RPS23B	DID2				YKL107W	KEL1				RSC58		SPR28	YCL042W	YFL034W	YMR001C-A	AHC1
